"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"490394689393020928","","","2014-07-19 07:16:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @VentureNursery: Kudos to @SeekSherpa and Invenzone for delivering exhilarating pitches. Made our fourth pitch day a  #grandsuccess. htt…","456360118632714240","480195710","2014-04-16 09:15:05 +0000","https://twitter.com/VentureNursery/status/456360118632714240/photo/1"
"430718572596166657","430717501253488641","735558108","2014-02-04 15:04:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ROFL_India Satya nadella is from Hyderabad and he is a telugu guy. Not Madrasi.","","","",""
"425124546979446784","","","2014-01-20 04:36:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#YoKejriwalsobrave if he becomes PM &amp; India gets attacked by Pak. He'll go on Hunger strike against Pak.","","","",""
"411353803397410816","","","2013-12-13 04:36:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We all Indians are eligible for Italian passports since Salman kurshid says Sonia mother of the nation.","","","",""
"368806907219161088","","","2013-08-17 18:49:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","So glad to have the premiership back :) :)
Arsenal loosing,  RVP and Welbeck on fire #ManUtd","","","",""
"366204767837491200","","","2013-08-10 14:29:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","For Authors,Writers,Poets,Movie-makers &amp; Video-Makers and for those who has one in 'Them'. Bring the 'artist' in you http://t.co/yQGllVjtbt","","","","http://www.lithasa.com"
"364570218019815424","","","2013-08-06 02:14:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tom cruise will likely be 53 when MI5 releases. Need to wait for the goods he deliver at this age. #MissionImpossible","","","",""
"364569185164083201","","","2013-08-06 02:10:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sounds good to me. Christopher McQuarrie confirmed to direct MI 5 :) :)","","","",""
"354922635097944067","","","2013-07-10 11:18:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","In Bodhgaya, cameras dont work well enough to show the culprits faces &amp; in Delhi metro couples making out z well captured. Incredible India!","","","",""
"354287670005997568","","","2013-07-08 17:15:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","3 days of continuous cricket for #Srilanka and tomorrow against #India Big match!!","","","",""
"353195335604121601","353187130631143425","56304605","2013-07-05 16:55:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sardesairajdeep Even if Ishrat ws terrorist kiling her in fake encounter is against law bt nailing NaMo by hook/cook is congress conspiracy","","","",""
"333220865145700353","","","2013-05-11 14:03:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Oh!! Kapil Sibal is our new law minister? Breaking the law was never this fun :D","","","",""
"332162339480690688","","","2013-05-08 15:57:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Congratulations on the record, #Ishant #SRHvsCSK","","","",""
"332161820473294848","","","2013-05-08 15:55:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dale Steyn gave only 7 runs in 3 overs. That means CSK 117 runs in just 11 overs... #SRHvsCSK","","","",""
